mol,name,pIC50,ast_fraglike,b_triple,density,FCharge,GCUT_PEOE_0,GCUT_PEOE_2,GCUT_SLOGP_1,logP(o/w),PEOE_RPC+,PEOE_VSA-0,PEOE_VSA_FPOL,Q_VSA_FPNEG,Q_VSA_FPPOS,VDistEq
Clc1cc(N2CCN(CCCCCOc3c(CCc4cc(OC)ccc4)cccc3)CC2)ccc1,CHEMBL457890,5.5767541,0,0,0.69336522,0,-0.85502303,0.035400629,-0.29467884,7,0.037237849,134.6454,0.009603272,0.009603272,0.050599769,4.2689776
O=C1N(C)[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N2[C@H](C(=O)N[C@@H]([C@H](CC)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]1[C@H](CC)C)CCC2,CHEMBL2369620,5.5718651,0,0,0.70383465,0,-0.84094018,0.048861358,-0.30307505,8.0880003,0.039984576,30.521019,0.20797989,0.29910296,0.15620673,4.0916586
O=C1N(C)[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N2[C@@H](C(=O)N[C@@H]([C@H](CC)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(O)(C)C)C(=O)O[C@@H]1[C@H](CC)C)CCC2,CHEMBL1790695,5.5686364,0,0,0.70749366,0,-0.84099311,0.045014773,-0.30276436,7.1469998,0.038704634,68.016373,0.21574238,0.29525372,0.15231484,4.0914941
O([C@@H]([C@H]1N2C[C@H](C=C)[C@H](C1)CC2)c1c2c(ncc1)ccc(OC)c2)C(=O)CCCCCCn1nnc(CCCCCCC(O[C@@H]([C@H]2N3C[C@H](C=C)[C@H](C2)CC3)c2c3c(ncc2)ccc(OC)c3)=O)c1,CHEMBL2042913,5.5686364,0,0,0.70398158,0,-0.84888583,0.038109384,-0.30461279,9.0450001,0.05683146,207.15279,0.083871506,0.16891694,0.056637503,4.8617482
O=C1N(C)[C@@H](C[C@@H](C/C=C/CC)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H]1C(C)C,CHEMBL2372475,5.5686364,0,0,0.68977231,0,-0.84030902,0.030933138,-0.30642638,7.1399999,0.02953059,98.404549,0.20430385,0.35777766,0.15490678,4.3214583
Brc1c2[C@@H](C3CCN(C(=O)CC4CCN(C(=O)N)CC4)CC3)c3ncc(Br)cc3CCc2cc(Cl)c1,CHEMBL298734,5.5686364,0,0,0.89886111,0,-0.85198396,0.045185775,-0.28415132,4.7880001,0.13161252,182.84792,0.1350788,0.076315627,0.092095137,3.8725049
O=C1N(C)[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N2[C@H](C(=O)N[C@@H]([C@H](CC)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(O)(C)C)C(=O)O[C@@H]1[C@H](CC)C)CCC2,CHEMBL1790693,5.5638375,0,0,0.70749366,0,-0.84099311,0.045014773,-0.30276436,7.1469998,0.038704634,68.016373,0.21574238,0.29525372,0.15231484,4.0914941
O=C1N(C)[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N2[C@H](C(=O)N[C@@H]([C@H](CC)C)C(=O)N(C)[C@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(O)(C)C)C(=O)O[C@@H]1[C@H](CC)C)CCC2,CHEMBL1790694,5.5638375,0,0,0.70749366,0,-0.84099311,0.045014773,-0.30276436,7.1469998,0.038704634,68.016373,0.21574238,0.29525372,0.15231484,4.0914941
O=C(/C=C/c1c2c(c(OC)cc1)cccc2)c1cc(OC)c(OC)cc1,CHEMBL3233219,5.5599999,0,0,0.71145564,0,-0.78763336,0.0488616,-0.30119392,4.9377398,0.10233562,65.691597,0.05873799,0.05873799,0.023571115,3.561779
FC(F)(F)c1c(OC)ccc(Nc2nc(-c3ccncc3)nc3c2cccc3)c1,CHEMBL4060577,5.5559554,0,0,0.81083894,0,-0.78846127,0.063002288,-0.28597152,4.4367599,0.19398507,85.784325,0.081527919,0.15722942,0.13263223,3.4684358
