mol,name,pIC50,ast_fraglike,b_triple,density,FCharge,GCUT_PEOE_0,GCUT_PEOE_2,GCUT_SLOGP_1,logP(o/w),PEOE_RPC+,PEOE_VSA-0,PEOE_VSA_FPOL,Q_VSA_FPNEG,Q_VSA_FPPOS,VDistEq
O=C1c2c(N(CCCCN3CCN(CCO)CC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4085670,8.9030895,0,0,0.68263018,0,-0.85863376,0.015161417,-0.28850397,3.424,0.10110097,109.27209,0.072850861,0.049093522,0.073578902,3.7394898
O=C(OCc1ccccc1)[C@]12[C@H](C=3[C@](C)([C@@]4(C)[C@@H]([C@]5(C)[C@H]([C@@](CO)(C)c6nccnc6C5)CC4)CC=3)CC1)CC(C)(C)CC2,CHEMBL4161103,8.6197891,0,0,0.67892504,0,-0.80586219,-0.074632682,-0.26403528,6.3165302,0.097870775,80.520355,0.096639186,0.26014861,0.064147942,3.829313
O=C1c2c(N(CCCCN(CCO)CCO)c3c1cccc3)c(C)cc(C)c2,CHEMBL4064097,8.5072393,0,0,0.69206721,0,-0.84973019,0.060939308,-0.28291184,3.2049999,0.096711658,109.27209,0.12105525,0.070812576,0.10292469,3.5123551
O=C1c2c(N(CCCCN3CCOCC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4094336,8.3979397,0,0,0.684591,0,-0.85004467,-0.007726841,-0.27654481,4.1589999,0.11175426,109.27209,0.042594735,0.042594735,0.057384763,3.4664094
O=C1c2c(N(CCCCN(CC)CC)c3c1cccc3)c(C)cc(C)c2,CHEMBL4077817,8.3925447,0,0,0.65435231,0,-0.86111325,-0.04401115,-0.25795031,5.2750001,0.13114662,135.65675,0.034705788,0.13062334,0.055385422,3.3855236
O=C1c2c(N(CCCCN3CCCCC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4066830,8.3010302,0,0,0.66372395,0,-0.85803014,0.015161592,-0.27042228,5.5669999,0.12940615,153.05937,0.035747491,0.035747491,0.057047829,3.4664094
O=C(CCc1ccccc1)c1c(OCC(O)CN2CCN(c3c(C)c(C)ccc3)CC2)cccc1,CHEMBL375243,8.2500315,0,0,0.68078619,0,-0.84852004,0.060879499,-0.32060292,4.6259999,0.084827282,89.586998,0.067826077,0.047328446,0.08967533,4.1125278
O(C)c1c(OC)cc(/C=C\c2cc(O)c(OC)cc2)cc1OC,CHEMBL67,8.1804562,0,0,0.72610492,0,-0.78683978,-0.049912501,-0.31355393,3.63448,0.10696021,53.436695,0.082271561,0.052051552,0.030220006,3.4504526
O=C1c2c(N(CCCN3CCN(CCO)CC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4086583,8.0969105,0,0,0.68725652,0,-0.85831624,0.015166339,-0.28973937,2.9820001,0.10369176,87.378456,0.075858921,0.051120628,0.076617025,3.6351092
O=C1c2c(N(CCCCN3CCN(C)CC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4102080,8,0,0,0.66927701,0,-0.86231989,-0.043849971,-0.27560908,4.118,0.1156862,132.51079,0.033308938,0.033308938,0.053156249,3.557076
O=C1c2c(N(CCCN(CCO)CCO)c3c1cccc3)c(C)cc(C)c2,CHEMBL4096764,7.950007,0,0,0.69751829,0,-0.84938717,0.060940173,-0.28610304,2.763,0.099076405,87.378456,0.12635325,0.073911697,0.10742921,3.3908937
O=C(OC1CCC(N(C)C2CCC(OC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)CC1)/C=C/c1cc(OC)c(OC)c(OC)c1,CHEMBL2316428,7.9208188,0,0,0.73128754,0,-0.85786927,-0.088055961,-0.33210534,6.12396,0.075502098,156.33226,0.11521319,0.070956372,0.044256814,4.5037603
O=C1c2c(N(CCCN(CC)CC)c3c1cccc3)c(C)cc(C)c2,CHEMBL4078738,7.8477116,0,0,0.65818292,0,-0.86090952,-0.043993507,-0.25788879,4.8330002,0.13585797,113.76311,0.036306228,0.13664697,0.057939492,3.2538419
O(C)c1ccc(N(C)c2nc(C)nc3c2CCC3)cc1.Cl,CHEMBL2425924,7.7851563,0,0,0.73576337,0,-0.80254698,-0.008389154,-0.29866213,3.599,0.10340672,117.10992,0.042345364,0.15250529,0.092680104,3.2768834
O=C1c2c(N(CCCN3CCCCC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4094253,7.7695513,0,0,0.667916,0,-0.85775405,0.015166866,-0.27145302,5.125,0.13398932,131.16574,0.037447803,0.037447803,0.059761278,3.3413801
O=C1c2c(N(CCCN3CCN(C)CC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4073625,7.7644715,0,0,0.67358136,0,-0.862086,-0.043845214,-0.27646413,3.6760001,0.1193286,110.61715,0.034780409,0.034780409,0.055504508,3.4392486
O=C1c2c(N(CCCN3CCOCC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4099509,7.7011471,0,0,0.68990016,0,-0.84962279,-0.0077195,-0.27645743,3.717,0.11514481,87.378456,0.044633273,0.044633273,0.060131133,3.3413801
O=C(OC1CCC(N(C)C2CCC(OC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)CC1)C#Cc1cc(OC)c(OC)c(OC)c1,CHEMBL1643347,7.6989698,0,1,0.733926,0,-0.8578549,-0.1071277,-0.36773753,6.2259598,0.088247471,141.8688,0.11546048,0.071108669,0.044351805,4.5037603
O=C(OC1CCC(N(C)C2CCC(OC(=O)C(c3ccc(OC)cc3)c3ccc(OC)cc3)CC2)CC1)C#Cc1cc(OC)c(OC)c(OC)c1,CHEMBL2316440,7.6989698,0,1,0.71706235,0,-0.85786414,-0.049366973,-0.32536796,8.4294796,0.087240227,170.7957,0.10286997,0.062018957,0.040851012,4.5694809
O=C1c2c(c(C)cc(C)c2)Nc2c1cccc2,CHEMBL4091769,7.5667105,0,0,0.69620878,0,-0.79595727,0.054431245,-0.24311328,3.4990001,0.19292235,78.677147,0.063672319,0.063672319,0.079347707,2.6866741
O=C(OC(C)(C)C)NCCCCCC(=O)N[C@@H]1C(C)(C)[C@H]2[C@@](C)([C@@H]3[C@](C)([C@@]4(C)[C@H]([C@H](O)C3)[C@@H]([C@@]3(C)O[C@@H](C(O)(C)C)CC3)CC4)CC2)CC1,CHEMBL4565305,7.548367,0,0,0.6759811,0,-0.84031075,-0.111337,-0.29010087,8.493,0.096477732,208.20052,0.13370235,0.33731574,0.097119153,4.3716269
O=C(OC1CCC(N(C)C2CCC(OC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)CC1)/C=C/c1cc(OC)c(OC)c(OC)c1,CHEMBL2316161,7.5228786,0,0,0.73128754,0,-0.85786927,-0.088055961,-0.33210534,6.12396,0.075502098,156.33226,0.11521319,0.070956372,0.044256814,4.5037603
O(C/C=C/c1ccc(-c2[nH]c(c(-c3ccc(NC(C)C)cc3)n2)-c2ccc(NC(C)C)cc2)cc1)CC,CHEMBL313113,7.5000381,0,0,0.66480595,0,-0.83245707,0.081797153,-0.26386139,7.4510002,0.067563444,144.96654,0.016157748,0.22770244,0.088523157,4.0113611
O=C(Nc1ccc(CCN2Cc3c(cc(OC)c(OC)c3)CC2)cc1)c1c(NC(=O)c2cnc3c(c2)cccc3)cc(OC)c(OC)c1,CHEMBL348475,7.480041,0,0,0.72910482,0,-0.85058844,0.046947192,-0.34687221,5.3504801,0.068722427,122.06747,0.1078175,0.06735085,0.098481208,4.397377
O(C)c1c(OC)cc2c(C(=O)/C(=C/C=C/c3ccc(N(C)C)cc3)/C2)c1,CHEMBL3233494,7.3699794,0,0,0.69491202,0,-0.84304857,-0.071785286,-0.26386139,4.1837401,0.10946885,99.91407,0.049789969,0.049789969,0.022673609,3.7062585
O(C)c1ccc(N(C)c2nc(C)nc3c2CC(C)C3)cc1.Cl,CHEMBL1824506,7.3526173,0,0,0.726794,0,-0.80278331,-0.014116577,-0.29740533,3.957,0.10003185,108.40861,0.040072422,0.19848837,0.087705389,3.3233635
OC(C)(C)[C@@H]1O[C@](C)([C@@H]2[C@H]3[C@H](O)C[C@H]4[C@](C)([C@]3(C)CC2)CC[C@H]2C(C)(C)[C@@H](N)CC[C@]42C)CC1,CHEMBL4517579,7.3173137,0,0,0.66107965,0,-0.83866775,-0.098898053,-0.2657735,6.2870002,0.089253537,134.55486,0.088408172,0.34060335,0.073877156,3.5058115
O=C(OC(C)(C)C)NCCCCCC(=O)N[C@@H]1C(C)(C)[C@H]2[C@@](C)([C@@H]3[C@](C)([C@@]4(C)[C@H]([C@H](O)C3)[C@@H]([C@@]3(C)O[C@@H](C(O)(C)C)CC3)CC4)CC2)CC1,CHEMBL4565305,7.3150649,0,0,0.6759811,0,-0.84031075,-0.111337,-0.29010087,8.493,0.096477732,208.20052,0.13370235,0.33731574,0.097119153,4.3716269
O(C)c1c(OC)ccc(C(C#N)(C(C)C)CCCNCc2c3c(cc4c2cccc4)cccc3)c1,CHEMBL1087138,7.3010302,0,1,0.67120004,0,-0.84596872,0.05220874,-0.28455433,7.7737398,0.057326477,80.610901,0.010266872,0.12050704,0.084042139,3.8161783
O=C(c1c(OCC(O)CN2CCN(CC(O)COc3c(C(=O)c4ccccc4)cccc3)CC2)cccc1)c1ccccc1,CHEMBL2059236,7.3010302,0,0,0.71688163,0,-0.85343504,0.079978727,-0.35188076,4.7160001,0.058349058,49.019615,0.1131202,0.07893429,0.062194183,4.4297829
O=C(OC1CCC(N(C)C2CCC(OC(=O)C3c4c(-c5c3cccc5)cccc4)CC2)CC1)C#Cc1cc(OC)c(OC)c(OC)c1,CHEMBL2316443,7.3010302,0,1,0.71506727,0,-0.8578617,0.061345369,-0.32815513,8.5054798,0.10200227,126.19316,0.11015722,0.063240871,0.046916354,4.4759669
Brc1cc(C(=O)Nc2cc(SCC(=O)Nc3n(-c4ccccc4)nc(-c4c(C)cc(C)c(C)c4)c3)ccc2)cnc1,CHEMBL4446420,7.251812,0,0,0.80575889,0,-0.81222093,0.072891057,-0.28091606,6.8280001,0.092384696,192.27783,0.10377604,0.1095509,0.087674417,4.1294312
O=C(CCc1ccccc1)c1c(OCC(O)CN2CCC(O)(c3ccccc3)CC2)cccc1,CHEMBL344278,7.2400303,0,0,0.69588894,0,-0.85151595,0.079273805,-0.29887429,4.6680002,0.080981985,55.030827,0.11028008,0.066702619,0.061428811,4.0712967
O=C(CCc1ccccc1)c1c(OCC(O)CN2CCC(O)(c3ccccc3)CC2)cccc1,CHEMBL344278,7.2400303,0,0,0.69588894,0,-0.85151595,0.079273805,-0.29887429,4.6680002,0.080981985,55.030827,0.11028008,0.066702619,0.061428811,4.0712967
FC1(F)[C@H]2[C@@H]1c1c(C(N3CCN(C[C@@H](O)COc4c5c(nccc5)ccc4)CC3)c3c2cccc3)cccc1,CHEMBL444172,7.230032,0,0,0.74305069,0,-0.85015357,0.080959834,-0.30184928,5.1319199,0.094872646,57.853775,0.11097968,0.084347688,0.047512617,3.9769881
O=C(/C=C/C=C/c1cc(OC)c(OC)c(OC)c1)c1cc(C(=O)/C=C/C=C/c2cc(OC)c(OC)c(OC)c2)ccc1,CHEMBL3233505,7.221849,0,0,0.72013545,0,-0.78683978,0.042530082,-0.28775865,6.4319601,0.055596363,90.201408,0.069137581,0.069137581,0.027744394,4.3915319
O=C(OC1CCC(N(C)C2CCC(OC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)CC1)C#Cc1cc(OC)c(OC)c(OC)c1,CHEMBL1643345,7.154902,0,1,0.733926,0,-0.8578549,-0.1071277,-0.36773753,6.2259598,0.088247471,141.8688,0.11546048,0.071108669,0.044351805,4.5037603
O=C(OC1CCC(N(C)C2CCC(OC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)CC1)C#Cc1cc(OC)c(OC)c(OC)c1,CHEMBL1643346,7.154902,0,1,0.733926,0,-0.8578549,-0.1071277,-0.36773753,6.2259598,0.088247471,141.8688,0.11546048,0.071108669,0.044351805,4.5037603
O=C(OC1CCC(N(C)C2CCC(OC(=O)C3c4c(-c5c3cccc5)cccc4)CC2)CC1)/C=C/c1cc(OC)c(OC)c(OC)c1,CHEMBL2316434,7.124939,0,0,0.71261227,0,-0.85787612,0.061790057,-0.30310261,8.4034796,0.084924832,140.6566,0.10990769,0.063097611,0.046810076,4.4759669
O=C(OC1CCC(N(C)C2CCC(OC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)CC1)C#Cc1cc(OC)c(OC)c(OC)c1,CHEMBL1643344,7.09691,0,1,0.733926,0,-0.8578549,-0.1071277,-0.36773753,6.2259598,0.088247471,141.8688,0.11546048,0.071108669,0.044351805,4.5037603
O=C(c1c(OCC(O)CN2CCN(c3c(C)c(C)ccc3)CC2)cccc1)c1ccccc1,CHEMBL2058782,7.09691,0,0,0.68885601,0,-0.84851873,0.061055016,-0.32286158,4.4499998,0.088011362,78.677147,0.072807983,0.050804775,0.09626209,3.979872
O=C(OC1CCC(N(C)C2CCC(OC(=O)CCC(C#N)(C(C)C)c3cc(OC)c(OC)cc3)CC2)CC1)/C=C/c1cc(OC)c(OC)c(OC)c1,CHEMBL2316432,7.09691,0,1,0.7106092,0,-0.85787946,-0.07836391,-0.31333441,8.1502199,0.071237445,167.24211,0.09591607,0.12934925,0.064373605,4.6480942
O=C(OC1CCC(N(C)C2CCC(OC(=O)C3c4c(-c5c3cccc5)cccc4)CC2)CC1)/C=C/c1cc(OC)c(OC)c(OC)c1,CHEMBL2316433,7.09691,0,0,0.71261227,0,-0.85787612,0.061790057,-0.30310261,8.4034796,0.084924832,140.6566,0.10990769,0.063097611,0.046810076,4.4759669
O(C)c1c(OC)cccc1CNc1c(CCc2cc(OC)ccc2)cccc1,CHEMBL272423,7.070581,0,0,0.6817925,0,-0.82079035,0.060403939,-0.26078513,5.1277399,0.064507782,73.047859,0.018825784,0.018825784,0.05368815,3.6849782
O=C(OC1CCC(N(C)C2CCC(OC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)CC1)/C=C/c1cc(OC)c(OC)c(OC)c1,CHEMBL1641620,7.036212,0,0,0.73128754,0,-0.85786927,-0.088055961,-0.33210534,6.12396,0.075502098,156.33226,0.11521319,0.070956372,0.044256814,4.5037603
FC1(F)CCC(NC(=O)c2nc(C(NC(=O)c3cc(OC)c(OC)c(OC)c3)C(C)C)sc2)CC1,CHEMBL4077753,7,0,0,0.79943854,0,-0.8345933,-0.02191597,-0.31635025,4.3304,0.083254933,41.912434,0.1894474,0.2086132,0.10575002,3.9404774
O=C(OC1CCC(N(C)C2CCC(OC(=O)C(c3ccc(OC)cc3)c3ccc(OC)cc3)CC2)CC1)C#Cc1cc(OC)c(OC)c(OC)c1,CHEMBL2316439,6.9208188,0,1,0.71706235,0,-0.85786414,-0.049366973,-0.32536796,8.4294796,0.087240227,170.7957,0.10286997,0.062018957,0.040851012,4.5694809
O=C(OC1CCC(N(C)C2CCC(OC(=O)C3c4c(-c5c3cccc5)cccc4)CC2)CC1)C#Cc1cc(OC)c(OC)c(OC)c1,CHEMBL2316441,6.9208188,0,1,0.71506727,0,-0.8578617,0.061345369,-0.32815513,8.5054798,0.10200227,126.19316,0.11015722,0.063240871,0.046916354,4.4759669
O=C(/C=C/c1cc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)ccc1)c1cc(OC)c(OC)c(OC)c1,CHEMBL3233503,6.9199872,0,0,0.73399723,0,-0.78675669,-0.049799245,-0.35081694,5.14396,0.059894718,90.201408,0.077541083,0.077541083,0.031116657,4.1286912
O=C(OC1CCC(N(C)C2CCC(OC(=O)C(c3ccc(OC)cc3)c3ccc(OC)cc3)CC2)CC1)C#Cc1cc(OC)c(OC)c(OC)c1,CHEMBL2316437,6.8860564,0,1,0.71706235,0,-0.85786414,-0.049366973,-0.32536796,8.4294796,0.087240227,170.7957,0.10286997,0.062018957,0.040851012,4.5694809
O(C)c1c(OC)cc2c(C(=O)/C(=C/c3ccc(N(C)C)cc3)/C2)c1,CHEMBL2220507,6.869988,0,0,0.70320344,0,-0.84303385,-0.079446726,-0.2869738,3.5397401,0.11783213,112.16898,0.054628253,0.054628253,0.024876891,3.4807277
OC(C)(C)[C@@H]1O[C@](C)([C@@H]2[C@H]3[C@H](O)C[C@H]4[C@](C)([C@]3(C)CC2)CC[C@H]2C(C)(C)[C@@H](N)CC[C@]42C)CC1,CHEMBL4517579,6.8683815,0,0,0.66107965,0,-0.83866775,-0.098898053,-0.2657735,6.2870002,0.089253537,134.55486,0.088408172,0.34060335,0.073877156,3.5058115
O=C(/C=C/c1cc(/C=C/C(=O)c2cc(OC)c(OC)cc2)ccc1)c1cc(OC)c(OC)cc1,CHEMBL3233502,6.8599949,0,0,0.72057724,0,-0.78365982,0.050910197,-0.30252564,5.6584802,0.073246174,114.71121,0.077523731,0.077523731,0.035303149,4.0878515
O=C(OC1CCC(N(C)C2CCC(OC(=O)CCC(C#N)(C(C)C)c3cc(OC)c(OC)cc3)CC2)CC1)/C=C/c1cc(OC)c(OC)c(OC)c1,CHEMBL2316430,6.8538718,0,1,0.7106092,0,-0.85787946,-0.07836391,-0.31333441,8.1502199,0.071237445,167.24211,0.09591607,0.12934925,0.064373605,4.6480942
O=C(OC1CCC(N(C)C2CCC(OC(=O)C(c3ccc(OC)cc3)c3ccc(OC)cc3)CC2)CC1)C#Cc1cc(OC)c(OC)c(OC)c1,CHEMBL2316438,6.8538718,0,1,0.71706235,0,-0.85786414,-0.049366973,-0.32536796,8.4294796,0.087240227,170.7957,0.10286997,0.062018957,0.040851012,4.5694809
O=C(/C=C/c1cc(OC)c(OC)c(OC)c1)c1cc(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)ccc1,CHEMBL3233504,6.8538718,0,0,0.73399723,0,-0.78683978,-0.04991249,-0.34910622,5.14396,0.06003188,90.201408,0.077541083,0.077541083,0.031116657,4.1203704
O(CCCN1Cc2c(cc(OC)c(OC)c2)CC1)c1c(CCc2cc(OC)ccc2)cccc1,CHEMBL486337,6.8538718,0,0,0.6846754,0,-0.85112095,-0.036100425,-0.30738407,5.73774,0.045666244,104.91393,0.02048702,0.02048702,0.026986597,4.0925727
O(C)c1c(OC)cc(/C=C/C=C\2/C(=O)c3c(cc(OC)c(OC)c3)CC/2)cc1OC,CHEMBL3233496,6.8400121,0,0,0.72548664,0,-0.78683978,-0.093465626,-0.32936001,3.7982199,0.08015842,70.839325,0.061414789,0.061414789,0.019914288,3.7693701
Fc1ccc(N2CCN(CC(O)COc3c(C(=O)c4ccccc4)cccc3)CC2)cc1,CHEMBL148318,6.8239088,0,0,0.72458893,0,-0.8485958,0.074100085,-0.32935959,4.0110002,0.087181568,73.529427,0.10490783,0.054281745,0.10285006,3.9901462
O=C(OC1CCC(N(C)C2CCC(OC(=O)CCC(C#N)(C(C)C)c3cc(OC)c(OC)cc3)CC2)CC1)/C=C/c1cc(OC)c(OC)c(OC)c1,CHEMBL2316431,6.8239088,0,1,0.7106092,0,-0.85787946,-0.07836391,-0.31333441,8.1502199,0.071237445,167.24211,0.09591607,0.12934925,0.064373605,4.6480942
O=C(OC1CCC(N(C)C2CCC(OC(=O)C3c4c(-c5c3cccc5)cccc4)CC2)CC1)/C=C/c1cc(OC)c(OC)c(OC)c1,CHEMBL2316436,6.8239088,0,0,0.71261227,0,-0.85787612,0.061790057,-0.30310261,8.4034796,0.084924832,140.6566,0.10990769,0.063097611,0.046810076,4.4759669
S(CC(=O)Nc1n(-c2ccccc2)nc(-c2c(C)cc(C)c(C)c2)c1)CC(=O)Nc1cc2c(cc1)cccc2,CHEMBL4469705,6.8153086,0,0,0.72334117,0,-0.81336373,0.072618574,-0.29828417,6.6230001,0.087577671,128.56026,0.10151354,0.10776468,0.094905421,4.1081333
S(CC(=O)NC(c1ccccc1)c1ccccc1)CC(=O)Nc1n(-c2ccccc2)nc(-c2c(C)cc(C)c(C)c2)c1,CHEMBL4553676,6.7958798,0,0,0.71258217,0,-0.8230682,0.076105729,-0.26386139,7.4070001,0.079580836,104.05045,0.092644177,0.098349154,0.092080936,4.08992
S(CC(=O)Nc1n(-c2ccccc2)nc(-c2c(C)cc(C)c(C)c2)c1)CC(=O)N1c2c(cccc2)CCc2c1cccc2,CHEMBL4557604,6.7851563,0,0,0.71667868,0,-0.81215787,0.061871648,-0.29797184,7.3790002,0.0869032,145.96288,0.092622705,0.098341048,0.071801819,4.0143456
O=C(c1cc(OCC(O)CN2CCN(c3c(C)c(C)ccc3)CC2)ccc1)c1ccccc1,CHEMBL2058783,6.7695513,0,0,0.68885601,0,-0.84853202,0.067361683,-0.32297692,4.4889998,0.089395612,78.677147,0.072807983,0.050804775,0.09626209,4.0558782
S(CC(=O)Nc1n(-c2ccccc2)nc(-c2c(C)cc(C)c(C)c2)c1)CC(=O)Nc1cc2scnc2cc1,CHEMBL4526913,6.7644715,0,0,0.76345551,0,-0.81337571,0.065003783,-0.30014861,5.4990001,0.085674942,159.30466,0.11477952,0.12116669,0.14643507,4.0640035
O=C1N(C)[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N2[C@H](C(=O)N[C@@H]([C@H](CC)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)C(=C(C)C)C(=O)O[C@@H]1[C@H](CC)C)CCC2,CHEMBL1790683,6.7447276,0,0,0.70243001,0,-0.84099263,0.03876451,-0.29168794,7.8470001,0.04381815,70.224915,0.20359987,0.26332775,0.1431587,4.0897465
O=C(OC1CCC(N(C)C2CCC(OC(=O)C3c4c(-c5c3cccc5)cccc4)CC2)CC1)/C=C/c1cc(OC)c(OC)c(OC)c1,CHEMBL2316435,6.7447276,0,0,0.71261227,0,-0.85787612,0.061790057,-0.30310261,8.4034796,0.084924832,140.6566,0.10990769,0.063097611,0.046810076,4.4759669
O(C)c1c(OC)ccc(CNc2c(CCc3cc(OC)ccc3)cccc2)c1,CHEMBL272036,6.7447276,0,0,0.6817925,0,-0.82157516,0.04779264,-0.2991541,5.1667399,0.064641394,85.302765,0.018825784,0.018825784,0.05368815,3.7572227
S(CC(=O)Nc1n(-c2ccccc2)nc(-c2c(C)cc(C)c(C)c2)c1)CC(=O)Nc1cc(OC)c(OC)c(OC)c1,CHEMBL4568985,6.7328281,0,0,0.74400771,0,-0.81282079,-0.013523257,-0.33187789,4.80548,0.07036034,124.14317,0.10407462,0.10969196,0.08528287,4.1303191
O(CCCCN1Cc2c(cc(OC)c(OC)c2)CC1)c1c(CCc2cc(OC)ccc2)cccc1,CHEMBL485727,6.7212462,0,0,0.68081194,0,-0.85173899,-0.036111791,-0.30272633,6.17974,0.044691961,126.80757,0.019789433,0.019789433,0.026067698,4.1700983
O(C)[C@@H]1[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](OC)C2)[C@H](C)O[C@@H](O[C@H]\2[C@@H](C)/C=C/C=C\3/[C@]4(O)[C@@H]([C@H](O)C(C)=C[C@H]4C(=O)O[C@@H]4C[C@@]5(O[C@H]([C@H](CC)C)[C@@H](C)CC5)O[C@@H](C4)C/C=C/2\C)OC/3)C1.O(C)[C@@H]1[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](OC)C2)[C@H](C)O[C@@H](O[C@H]\2[C@@H](C)/C=C/C=C\3/[C@]4(O)[C@@H]([C@H](O)C(C)=C[C@H]4C(=O)O[C@@H]4C[C@@]5(O[C@H](C(C)C)[C@@H](C)CC5)O[C@@H](C4)C/C=C/2\C)OC/3)C1,CHEMBL1200633,6.6989698,0,0,0.73147982,0,-0.8109017,0.041133258,-0.30159196,12.26948,0.023210358,198.03792,0.12861228,0.26034132,0.11220214,3.0984237
O=C(c1cc(OCC(O)CN2CCN(c3c(C)cccc3)CC2)ccc1)c1ccccc1,CHEMBL2059231,6.6989698,0,0,0.69336712,0,-0.84854639,0.068523817,-0.33365515,4.1929998,0.090231858,57.720928,0.075583845,0.052741744,0.099932157,4.0282011
O=C(OCc1ccccc1)NCCCC[C@H](NC[C@H]1N(C(OC(C)(C)C)=O)C[C@H](OCc2ccccc2)C1)C(=O)OC(C)(C)C,CHEMBL1253372,6.6575775,0,0,0.70435846,0,-0.83090568,0.058923233,-0.26386139,6.6360002,0.092903234,151.7084,0.15190604,0.23855554,0.155471,4.268023
O=[N+]([O-])c1c(OCC(=O)Nc2ccc(CCN3Cc4c(cc(OC)c(OC)c4)CC3)cc2)cccc1,CHEMBL515247,6.6575775,0,0,0.74926001,0,-0.85058999,0.054972704,-0.31451371,4.1427398,0.10197516,85.302765,0.152628,0.11253186,0.079153106,4.2212915
S(CC(=O)Nc1n(-c2ccccc2)nc(-c2c(C)cc(C)c(C)c2)c1)CC(=O)NC12CC3CC(C1)CC(C2)C3,CHEMBL4552725,6.6363878,0,0,0.71906304,0,-0.83913517,0.056602687,-0.30494767,6.3540001,0.088307969,151.84125,0.10359886,0.10997842,0.096854992,4.0203743
O=C(Nc1ccc(CCN2Cc3c(cc(OC)c(OC)c3)CC2)cc1)c1c(NC(=O)c2cnc3c(c2)cccc3)cccc1,CHEMBL444075,6.6200061,0,0,0.71823072,0,-0.85058755,0.06866046,-0.31582808,5.6147399,0.079350956,122.06747,0.1111946,0.066194899,0.10951304,4.4006534
O=C(OC1CCC(N(C)C2CCC(OC(=O)CCC(C#N)(C(C)C)c3cc(OC)c(OC)cc3)CC2)CC1)/C=C/c1cc(OC)c(OC)c(OC)c1,CHEMBL2316429,6.6197886,0,1,0.7106092,0,-0.85787946,-0.07836391,-0.31333441,8.1502199,0.071237445,167.24211,0.09591607,0.12934925,0.064373605,4.6480942
O(Cc1c(OC)c(OC)ccc1)c1c(CCc2cc(OC)ccc2)cccc1,CHEMBL258610,6.6020598,0,0,0.69058675,0,-0.78950697,0.028761173,-0.28757358,5.4367399,0.055174295,70.839325,0.024818808,0.024818808,0.037051659,3.6849782
S(CC(=O)Nc1n(-c2ccccc2)nc(-c2c(C)cc(C)c(C)c2)c1)CC(=O)c1cc2c(-c3c(cccc3)C2)cc1,CHEMBL4476464,6.5751185,0,0,0.71834862,0,-0.81208891,0.064952962,-0.28091604,7.9990001,0.094769739,129.42374,0.076026402,0.1067092,0.069422528,4.1347384
O=C(OC1CCC(N(C)C2CCC(OC(=O)C3c4c(-c5c3cccc5)cccc4)CC2)CC1)C#Cc1cc(OC)c(OC)c(OC)c1,CHEMBL2316444,6.5376019,0,1,0.71506727,0,-0.8578617,0.061345369,-0.32815513,8.5054798,0.10200227,126.19316,0.11015722,0.063240871,0.046916354,4.4759669
O=C(OCCCCCN(CCCOC(=O)c1c2c(cc3c1cccc3)cccc2)C)/C=C/c1cc(OC)c(OC)c(OC)c1,CHEMBL3339300,6.5228786,0,0,0.70854944,0,-0.86147124,0.035289835,-0.28867137,7.6114802,0.089676462,131.29858,0.10942326,0.062819503,0.046603758,4.5080595
O=C(c1c(OCC(O)CN2CCC(O)(c3ccccc3)CC2)cccc1)c1ccccc1,CHEMBL148260,6.5086384,0,0,0.70561141,0,-0.85151464,0.079491474,-0.29887468,4.4920001,0.083869234,44.120975,0.11893051,0.071934812,0.066247322,3.9327939
O=[N+]([O-])c1c(NC(=O)Nc2ccc(CCN3Cc4c(cc(OC)c(OC)c4)CC3)cc2)cccc1,CHEMBL475362,6.4814858,0,0,0.74781263,0,-0.85057676,0.069679126,-0.30274633,3.99474,0.11248915,85.302765,0.1617478,0.11098546,0.10913426,4.1498704
O=C(CCc1ccccc1)c1c(OCC(O)CNCCC)cccc1,CHEMBL631,6.4800014,0,0,0.68241614,0,-0.84580672,0.079273805,-0.33893999,3.5420001,0.10412143,57.313297,0.09213458,0.11476177,0.073606342,3.6993747
